Comment,Designator,Footprint,LCSC
LED,"D7,D10,D6,D19,D4,D20,D18,D1,D12,D16,D13,D5,D15,D9,D3,D17,D14,D11,D8,D2",LED_0603_1608Metric,C19171390
Conn_01x01_Pin,J2,d20_touchpad,
10kOhm,"R8,R7",R_0402_1005Metric,C102749
1MOhm,R6,R_0402_1005Metric,C26083
Conn_01x06_Socket,J1,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left,
ATtiny84-20P,U1,SOIC-14_3.9x8.7mm_P1.27mm,C1340034
150 Ohm,"R2,R3,R1,R4,R5",R_0402_1005Metric,C25082
10uF,C2,C_0402_1005Metric,C6119763
SW_Push,SW2,d20_pushbutton,C596271
10nF,C3,C_0402_1005Metric,C15195
Battery_Cell,BT1,d20_battery,C238069
SW_SPST,SW1,SW_SPDT_PCM12,C431540
0.1uF,C1,C_0402_1005Metric,C141382
