Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","d20_battery",135.949084,-109.512287,-90.000000,bottom
"C1(Ceramic)1","0.1uF","C_0402_1005Metric",152.791884,-95.237487,180.000000,bottom
"C2(Electrolytic)1","10uF","C_0402_1005Metric",152.783600,-94.005400,180.000000,bottom
"C3","10nF","C_0402_1005Metric",155.364400,-91.846400,180.000000,bottom
"J1","Conn_01x06_Socket","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",147.990684,-85.966487,-120.000000,bottom
"R1","150 Ohm","R_0402_1005Metric",130.236084,-83.477287,120.000000,bottom
"R2","150 Ohm","R_0402_1005Metric",128.991484,-84.137687,120.000000,bottom
"R3","150 Ohm","R_0402_1005Metric",127.746884,-84.823487,120.000000,bottom
"R4","150 Ohm","R_0402_1005Metric",126.502284,-85.509287,120.000000,bottom
"R5","150 Ohm","R_0402_1005Metric",125.308484,-86.195087,120.000000,bottom
"R6","1MOhm","R_0402_1005Metric",155.344400,-92.887800,180.000000,bottom
"R7","10kOhm","R_0402_1005Metric",155.344400,-95.237487,0.000000,bottom
"R8","10kOhm","R_0402_1005Metric",155.344400,-94.157800,0.000000,bottom
"SW1","SW_SPST","SW_SPDT_PCM12",117.807884,-98.400487,90.000000,bottom
"SW2","SW_Push","d20_pushbutton",136.103484,-78.219487,0.000000,bottom
"U1","ATtiny84-20P","SOIC-14_3.9x8.7mm_P1.27mm",152.777084,-100.774687,180.000000,bottom
