Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0603_1608Metric",136.306684,-76.390687,180.000000,top
"D2","LED","LED_0603_1608Metric",128.614289,-79.553037,-150.000000,top
"D3","LED","LED_0603_1608Metric",124.368684,-82.131087,-150.000000,top
"D4","LED","LED_0603_1608Metric",120.076084,-84.696487,-150.000000,top
"D5","LED","LED_0603_1608Metric",115.427884,-93.180087,90.000000,top
"D6","LED","LED_0603_1608Metric",115.453284,-98.641087,90.000000,top
"D7","LED","LED_0603_1608Metric",115.554884,-104.914887,90.000000,top
"D8","LED","LED_0603_1608Metric",120.279284,-114.211287,150.000000,top
"D9","LED","LED_0603_1608Metric",125.054484,-117.081487,150.000000,top
"D10","LED","LED_0603_1608Metric",129.855084,-119.900887,150.000000,top
"D11","LED","LED_0603_1608Metric",143.621884,-79.641887,150.000000,top
"D12","LED","LED_0603_1608Metric",148.574884,-82.562887,150.000000,top
"D13","LED","LED_0603_1608Metric",153.045284,-85.179087,150.000000,top
"D14","LED","LED_0603_1608Metric",156.829884,-93.154687,90.000000,top
"D15","LED","LED_0603_1608Metric",156.906084,-98.539487,90.000000,top
"D16","LED","LED_0603_1608Metric",156.880684,-104.889487,90.000000,top
"D17","LED","LED_0603_1608Metric",152.715084,-113.779487,-150.000000,top
"D18","LED","LED_0603_1608Metric",147.609684,-116.903687,-150.000000,top
"D19","LED","LED_0603_1608Metric",142.656684,-119.672287,-150.000000,top
"D20","LED","LED_0603_1608Metric",136.306684,-122.517087,180.000000,top
"G***","d20_line_art","d20_line_art",136.083949,-98.299982,0.000000,top
"J2","Conn_01x01_Pin","d20_touchpad",135.951084,-107.840624,0.000000,top
